OBJECTID,Survey,Spp_Name,Number_,Len1,Len2,Len3,Len4,Len5,Len6,Len7,Len8,Len9,Len10,Len11,Len12,Len13,Len14,Len15,Len16,Len17,Len18,Len19,Len20
5054,FKM10050104`,Bathygobius soporator,1,28,,,,,,,,,,,,,,,,,,,
5055,FKM10050106,Calamus arctifrons,3,60,55,64,,,,,,,,,,,,,,,,,
5056,FKM10050106,Sphoeroides spengleri,1,45,,,,,,,,,,,,,,,,,,,
5057,FKM10060105,Stephanolepis hispidus,1,17,,,,,,,,,,,,,,,,,,,
5058,FKM10060105,Syngnathus scovelli,1,70,,,,,,,,,,,,,,,,,,,
5059,FKM10060105,Harengula jaguana,5,42,42,47,45,42,,,,,,,,,,,,,,,
5060,FKM10060105,Lagodon rhomboides,40,50,49,61,41,56,39,49,41,45,59,,,,,,,,,,
5061,FKM10060105,Strongylura notata,2,125,121,,,,,,,,,,,,,,,,,,
5062,FKM10060105,Floridichthys carpio,3,58,32,27,,,,,,,,,,,,,,,,,
5063,FKM10060105,Lucania parva,2,22,26,,,,,,,,,,,,,,,,,,
5064,FKM10060105,Eucinostomus spp.,24,22,18,26,22,26,23,21,22,23,17,,,,,,,,,,
5065,FKM10060105,Sphyraena barracuda,1,24,,,,,,,,,,,,,,,,,,,
5066,FKM10060107,Lutjanus synagris,1,25,,,,,,,,,,,,,,,,,,,
5067,FKM10060107,Haemulon spp.,1,26,,,,,,,,,,,,,,,,,,,
5068,FKM10060106,Oligoplites saurus,1,28,,,,,,,,,,,,,,,,,,,
5069,FKM10070104,Eucinostomus gula,1,40,,,,,,,,,,,,,,,,,,,
5070,FKM10070104,Sphyraena barracuda,1,235,,,,,,,,,,,,,,,,,,,
5071,FKM10070104,Monacanthus ciliatus,1,48,,,,,,,,,,,,,,,,,,,
5072,FKM10070104,Lutjanus griseus,1,210,,,,,,,,,,,,,,,,,,,
5073,FKM10070104,Lutjanus synagris,1,9,,,,,,,,,,,,,,,,,,,
5074,FKM10070104,Acanthostracion quadricornis,2,130,55,,,,,,,,,,,,,,,,,,
5075,FKM10070104,Haemulon sciurus,12,20,19,41,38,41,32,49,24,36,24,,,,,,,,,,
5076,FKM10070104,Lagodon rhomboides,8,63,70,68,66,71,63,79,66,,,,,,,,,,,,
5077,FKM10070104,Eucinostomus spp.,17,38,38,39,26,24,24,19,39,35,30,,,,,,,,,,
5078,FKM10070104,Stephanolepis hispidus,1,34,,,,,,,,,,,,,,,,,,,
5079,FKM10070104,Sparisoma chrysopterum,1,49,,,,,,,,,,,,,,,,,,,
5080,FKM10070104,Haemulon plumierii,123,26,38,31,33,33,23,28,27,19,51,,,,,,,,,,
5081,FKM10080207,Haemulon plumierii,30,58,57,52,55,57,48,55,50,53,50,,,,,,,,,,
5082,FKM10090105,Lutjanus apodus,1,21,,,,,,,,,,,,,,,,,,,
5083,FKM10110103,Lagodon rhomboides,1,32,,,,,,,,,,,,,,,,,,,
5084,FKM10120101,Floridichthys carpio,4,35,38,26,24,,,,,,,,,,,,,,,,
5085,FKM10120101,Lagodon rhomboides,1,65,,,,,,,,,,,,,,,,,,,
5086,FKM10120101,Syngnathus floridae,1,97,,,,,,,,,,,,,,,,,,,
5087,FKM10120110,Haemulon spp.,2,14,15,,,,,,,,,,,,,,,,,,
5088,FKM11010101,Eucinostomus gula,26,55,61,63,50,55,52,55,49,59,50,,,,,,,,,,
5089,FKM11010101,Syngnathus floridae,1,110,,,,,,,,,,,,,,,,,,,
5090,FKM11010101,Monacanthus ciliatus,1,45,,,,,,,,,,,,,,,,,,,
5091,FKM11010101,Hypoatherina harringtonensis,6,45,40,40,35,41,38,,,,,,,,,,,,,,
5092,FKM11010101,Harengula jaguana,1,71,,,,,,,,,,,,,,,,,,,
5093,FKM11010101,Sphoeroides nephelus,1,39,,,,,,,,,,,,,,,,,,,
5094,FKM11010102,Lagodon rhomboides,27,76,82,82,80,78,72,84,66,46,66,,,,,,,,,,
5095,FKM11010102,Hypoatherina harringtonensis,57,42,42,40,48,44,38,40,41,46,49,,,,,,,,,,
5096,FKM11010102,Eucinostomus gula,60,57,42,58,56,60,48,43,41,43,47,,,,,,,,,,
5097,FKM11010102,Eucinostomus spp.,10,34,31,30,39,38,39,39,36,30,39,,,,,,,,,,
5098,FKM11010102,Syngnathus scovelli,4,100,85,85,80,,,,,,,,,,,,,,,,
5099,FKM11010102,Lactophrys trigonus,1,50,,,,,,,,,,,,,,,,,,,
5100,FKM11010102,Lutjanus griseus,3,29,69,62,,,,,,,,,,,,,,,,,
5101,FKM11010102,Archosargus rhomboidalis,1,44,,,,,,,,,,,,,,,,,,,
5102,FKM11010102,Syngnathus floridae,2,105,160,,,,,,,,,,,,,,,,,,
5103,FKM11010102,Haemulon plumierii,5,42,50,48,51,49,,,,,,,,,,,,,,,
5104,FKM11010102,Haemulon sciurus,1,62,,,,,,,,,,,,,,,,,,,
5105,FKM11010103,Acanthostracion quadricornis,4,158,140,122,114,,,,,,,,,,,,,,,,
5106,FKM11010103,Sparisoma chrysopterum,1,69,,,,,,,,,,,,,,,,,,,
5107,FKM11010103,Stephanolepis hispidus,6,42,56,50,31,31,22,,,,,,,,,,,,,,
5108,FKM11010103,Lagodon rhomboides,2,90,17,,,,,,,,,,,,,,,,,,
5109,FKM11010103,Syngnathus floridae,1,161,,,,,,,,,,,,,,,,,,,
5110,FKM11010104,Eucinostomus gula,64,45,52,41,50,55,57,52,45,71,45,,,,,,,,,,
5111,FKM11010104,Hemiramphus brasiliensis,18,62,72,66,70,62,57,55,56,54,52,,,,,,,,,,
5112,FKM11010104,Lagodon rhomboides,5,70,52,51,72,66,,,,,,,,,,,,,,,
5113,FKM11010104,Sphoeroides nephelus,1,162,,,,,,,,,,,,,,,,,,,
5114,FKM11010104,Haemulon plumierii,10,46,51,55,44,42,42,40,40,38,48,,,,,,,,,,
5115,FKM11010104,Stephanolepis hispidus,5,37,32,26,32,18,,,,,,,,,,,,,,,
5116,FKM11010104,Lutjanus griseus,1,42,,,,,,,,,,,,,,,,,,,
5117,FKM11010104,Coryphaena hippurus,1,22,,,,,,,,,,,,,,,,,,,
5118,FKM11010203,Dasyatis sabina,1,370,,,,,,,,,,,,,,,,,,,
5119,FKM11010203,Ostraciidae spp.,1,12,,,,,,,,,,,,,,,,,,,
5120,FKM11010203,Syngnathus scovelli,2,100,110,,,,,,,,,,,,,,,,,,
5121,FKM11010203,Syngnathus floridae,1,130,,,,,,,,,,,,,,,,,,,
5122,FKM11010203,Sphoeroides spengleri,1,62,,,,,,,,,,,,,,,,,,,
5123,FKM11010204,Stephanolepis hispidus,7,6,22,9,14,40,18,20,,,,,,,,,,,,,
5124,FKM11010204,Eucinostomus gula,3,35,28,42,,,,,,,,,,,,,,,,,
5125,FKM11010204,Eucinostomus spp.,6,14,25,28,22,35,28,,,,,,,,,,,,,,
5126,FKM11010204,Unidentified species,1,14,,,,,,,,,,,,,,,,,,,
5127,FKM11010204,Hippocampus erectus,1,19,,,,,,,,,,,,,,,,,,,
5128,FKM11010204,Monacanthus ciliatus,1,50,,,,,,,,,,,,,,,,,,,
5129,FKM11010204,Syngnathus scovelli,1,90,,,,,,,,,,,,,,,,,,,
5130,FKM11010204,Lagodon rhomboides,1,83,,,,,,,,,,,,,,,,,,,
5131,FKM11010204,Haemulon plumierii,4,30,31,36,35,,,,,,,,,,,,,,,,
5132,FKM11010106,Acanthostracion quadricornis,1,148,,,,,,,,,,,,,,,,,,,
5133,FKM11010106,Haemulon plumierii,7,58,38,49,44,44,41,32,,,,,,,,,,,,,
5134,FKM11010106,Chilomycterus schoepfii,2,53,80,,,,,,,,,,,,,,,,,,
5135,FKM11010106,Lagodon rhomboides,15,67,64,54,67,65,67,51,70,58,58,,,,,,,,,,
5136,FKM11010106,Eucinostomus gula,4,67,44,50,48,,,,,,,,,,,,,,,,
5137,FKM11010106,Monacanthus ciliatus,3,44,46,23,,,,,,,,,,,,,,,,,
5138,FKM11010106,Stephanolepis hispidus,2,32,15,,,,,,,,,,,,,,,,,,
5139,FKM11010106,Archosargus rhomboidalis,1,60,,,,,,,,,,,,,,,,,,,
5140,FKM11010106,Eucinostomus spp.,2,35,30,,,,,,,,,,,,,,,,,,
5141,FKM11010106,Syngnathus floridae,1,165,,,,,,,,,,,,,,,,,,,
5142,FKM11010106,Paraclinus marmoratus,1,58,,,,,,,,,,,,,,,,,,,
5143,FKM11010105,Harengula jaguana,299,41,44,54,38,74,68,48,78,72,68,,,,,,,,,,
5144,FKM11010105,Acanthostracion quadricornis,1,160,,,,,,,,,,,,,,,,,,,
5145,FKM11010105,Lagodon rhomboides,1,47,,,,,,,,,,,,,,,,,,,
5146,FKM11010105,Syngnathus floridae,1,112,,,,,,,,,,,,,,,,,,,
5147,FKM11010105,Stephanolepis hispidus,2,36,17,,,,,,,,,,,,,,,,,,
5148,FKM11010105,Anchoa hepsetus,4,45,62,52,67,,,,,,,,,,,,,,,,
5149,FKM11010105,Hemiramphus brasiliensis,2,74,62,,,,,,,,,,,,,,,,,,
5150,FKM11010105,Syngnathus scovelli,1,90,,,,,,,,,,,,,,,,,,,
5151,FKM11010105,Haemulon sciurus,1,65,,,,,,,,,,,,,,,,,,,
5152,FKM11010105,Eucinostomus spp.,1,36,,,,,,,,,,,,,,,,,,,
5153,FKM11020101,Syngnathus scovelli,3,94,87,79,,,,,,,,,,,,,,,,,
5154,FKM11020101,Synodus foetens,2,57,45,,,,,,,,,,,,,,,,,,
5155,FKM11020101,Sphoeroides spengleri,1,34,,,,,,,,,,,,,,,,,,,
5156,FKM11020101,Eucinostomus spp.,2,25,30,,,,,,,,,,,,,,,,,,
5157,FKM11020101,Clupeidae spp.,1,22,,,,,,,,,,,,,,,,,,,
5158,FKM11020101,Ctenogobius saepepallens,2,22,21,,,,,,,,,,,,,,,,,,
5159,FKM11020102,Acanthostracion quadricornis,1,140,,,,,,,,,,,,,,,,,,,
5160,FKM11020102,Atherinomorus stipes,75,41,42,41,45,45,40,45,46,41,42,,,,,,,,,,
5161,FKM11020102,Hypoatherina harringtonensis,31,46,47,47,45,46,40,42,44,42,44,,,,,,,,,,
5162,FKM11020102,Farfantepenaeus aztecus,1,18,,,,,,,,,,,,,,,,,,,
5163,FKM11020103,Atherinomorus stipes,155,42,44,43,50,39,40,45,45,41,42,,,,,,,,,,
5164,FKM11020103,Hypoatherina harringtonensis,114,36,42,42,45,46,37,50,51,40,38,,,,,,,,,,
5165,FKM11020103,Syngnathus floridae,1,105,,,,,,,,,,,,,,,,,,,
5166,FKM11020103,Archosargus rhomboidalis,2,65,28,,,,,,,,,,,,,,,,,,
5167,FKM11020103,Lagodon rhomboides,20,17,14,17,20,21,28,24,21,20,21,,,,,,,,,,
5168,FKM11020103,Farfantepenaeus duorarum,1,8,,,,,,,,,,,,,,,,,,,
5169,FKM11020103,Syngnathus scovelli,3,78,90,85,,,,,,,,,,,,,,,,,
5170,FKM11020103,Clupeidae spp.,1,25,,,,,,,,,,,,,,,,,,,
5171,FKM11020103,Urophycis floridana,1,32,,,,,,,,,,,,,,,,,,,
5172,FKM11020104,Clupeidae spp.,2,22,23,,,,,,,,,,,,,,,,,,
5173,FKM11020104,Eucinostomus gula,7,56,61,48,56,42,66,55,,,,,,,,,,,,,
5174,FKM11020104,Abudefduf saxatilis,2,14,17,,,,,,,,,,,,,,,,,,
5175,FKM11020104,Hippocampus erectus,1,12,,,,,,,,,,,,,,,,,,,
5176,FKM11020104,Stephanolepis hispidus,5,9,12,8,8,7,,,,,,,,,,,,,,,
5177,FKM11020104,Lagodon rhomboides,1,10,,,,,,,,,,,,,,,,,,,
5178,FKM11020104,Syngnathus scovelli,1,64,,,,,,,,,,,,,,,,,,,
5179,FKM11020105,Sphoeroides spengleri,1,197,,,,,,,,,,,,,,,,,,,
5180,FKM11020105,Anchoa hepsetus,5,62,57,61,58,54,,,,,,,,,,,,,,,
5181,FKM11020105,Anchoa hepsetus,601,55,56,54,57,58,68,60,51,59,61,,,,,,,,,,
5182,FKM11020105,Syngnathus floridae,4,193,193,120,137,,,,,,,,,,,,,,,,
5183,FKM11020105,Eucinostomus harengulus,2,61,51,,,,,,,,,,,,,,,,,,
5184,FKM11020105,Clupeidae spp.,1,25,,,,,,,,,,,,,,,,,,,
5185,FKM11020105,Eucinostomus gula,7,52,55,58,71,80,47,58,,,,,,,,,,,,,
5186,FKM11020105,Sparisoma chrysopterum,5,51,85,85,89,41,,,,,,,,,,,,,,,
5187,FKM11020105,Lagodon rhomboides,11,65,75,83,75,97,72,88,79,94,78,,,,,,,,,,
5188,FKM11020105,Harengula jaguana,4,49,61,54,52,,,,,,,,,,,,,,,,
5189,FKM11020105,Lutjanus griseus,1,72,,,,,,,,,,,,,,,,,,,
5190,FKM11020105,Haemulon spp.,1,20,,,,,,,,,,,,,,,,,,,
5191,FKM11020105,Eucinostomus spp.,1,38,,,,,,,,,,,,,,,,,,,
5192,FKM11020105,Astroscopus y-graecum,1,25,,,,,,,,,,,,,,,,,,,
5193,FKM11020106,Stephanolepis hispidus,1,34,,,,,,,,,,,,,,,,,,,
5194,FKM11020106,Clupeidae spp.,1,21,,,,,,,,,,,,,,,,,,,
5195,FKM11020107,Acanthostracion quadricornis,9,118,162,92,131,97,146,120,162,116,,,,,,,,,,,
5196,FKM11020107,Calamus arctifrons,2,115,83,,,,,,,,,,,,,,,,,,
5197,FKM11020107,Archosargus rhomboidalis,4,70,63,59,57,,,,,,,,,,,,,,,,
5198,FKM11020107,Monacanthus ciliatus,1,52,,,,,,,,,,,,,,,,,,,
5199,FKM11020107,Syngnathus floridae,1,160,,,,,,,,,,,,,,,,,,,
5200,FKM11020107,Eucinostomus gula,2,54,43,,,,,,,,,,,,,,,,,,
5201,FKM11020107,Haemulon plumierii,5,18,33,34,21,18,,,,,,,,,,,,,,,
5202,FKM11020107,Eucinostomus spp.,1,29,,,,,,,,,,,,,,,,,,,
5203,FKM11020107,Hippocampus erectus,1,29,,,,,,,,,,,,,,,,,,,
5204,FKM11020107,Stephanolepis hispidus,1,11,,,,,,,,,,,,,,,,,,,
5205,FKM11020108,Synodus foetens,1,62,,,,,,,,,,,,,,,,,,,
5206,FKM11020108,Eucinostomus gula,5,60,63,66,64,51,,,,,,,,,,,,,,,
5207,FKM11020108,Syngnathus floridae,1,181,,,,,,,,,,,,,,,,,,,
5208,FKM11020108,Lagodon rhomboides,3,73,74,71,,,,,,,,,,,,,,,,,
5209,FKM11020108,Syngnathus scovelli,1,114,,,,,,,,,,,,,,,,,,,
5210,FKM11020108,Ostraciidae spp.,1,3,,,,,,,,,,,,,,,,,,,
5211,FKM11020109,Lactophrys trigonus,2,76,76,,,,,,,,,,,,,,,,,,
5212,FKM11020109,Acanthostracion quadricornis,2,132,155,,,,,,,,,,,,,,,,,,
5213,FKM11020109,Eucinostomus gula,4,54,60,51,61,,,,,,,,,,,,,,,,
5214,FKM11020109,Nicholsina usta,2,71,55,,,,,,,,,,,,,,,,,,
5215,FKM11020109,Haemulon plumierii,135,42,31,49,28,57,41,42,52,37,28,,,,,,,,,,
5216,FKM11020109,Scarus taeniopterus,77,31,20,38,34,36,25,32,55,31,42,,,,,,,,,,
5217,FKM11020109,Sparisoma chrysopterum,5,50,46,51,58,41,,,,,,,,,,,,,,,
5218,FKM11020109,Stephanolepis hispidus,4,22,27,16,15,,,,,,,,,,,,,,,,
5219,FKM11020109,Eucinostomus spp.,1,26,,,,,,,,,,,,,,,,,,,
5220,FKM11020109,Lagodon rhomboides,7,17,22,50,52,51,51,50,,,,,,,,,,,,,
5221,FKM11020109,Ostraciidae spp.,1,4,,,,,,,,,,,,,,,,,,,
5222,FKM11020109,Clupeidae spp.,2,21,22,,,,,,,,,,,,,,,,,,
5223,FKM11020110,Acanthostracion quadricornis,1,101,,,,,,,,,,,,,,,,,,,
5224,FKM11020110,Lactophrys trigonus,4,81,26,67,56,,,,,,,,,,,,,,,,
5225,FKM11020110,Sphyraena barracuda,1,292,,,,,,,,,,,,,,,,,,,
5226,FKM11020110,Haemulon plumierii,48,45,28,60,45,51,46,46,46,24,47,,,,,,,,,,
5227,FKM11020110,Lagodon rhomboides,20,78,74,64,72,56,96,105,57,72,68,,,,,,,,,,
5228,FKM11020110,Eucinostomus gula,3,64,50,60,,,,,,,,,,,,,,,,,
5229,FKM11020110,Stephanolepis hispidus,2,15,11,,,,,,,,,,,,,,,,,,
5230,FKM11020110,Syngnathus floridae,4,131,145,110,119,,,,,,,,,,,,,,,,
5231,FKM11020110,Scarus taeniopterus,4,38,51,40,32,,,,,,,,,,,,,,,,
5232,FKM11020110,Clupeidae spp.,1,26,,,,,,,,,,,,,,,,,,,
5233,FKM11030101,Sphoeroides spengleri,1,51,,,,,,,,,,,,,,,,,,,
5234,FKM11030101,Lagodon rhomboides,1,91,,,,,,,,,,,,,,,,,,,
5235,FKM11030102,Acanthostracion quadricornis,2,70,65,,,,,,,,,,,,,,,,,,
5236,FKM11030102,Syngnathus floridae,2,130,140,,,,,,,,,,,,,,,,,,
5237,FKM11030102,Stephanolepis hispidus,1,15,,,,,,,,,,,,,,,,,,,
5238,FKM11030102,Eucinostomus spp.,1,38,,,,,,,,,,,,,,,,,,,
5239,FKM11030103,Acanthostracion quadricornis,6,145,142,154,125,114,110,,,,,,,,,,,,,,
5240,FKM11030103,Lagodon rhomboides,9,112,118,97,120,97,95,120,114,95,,,,,,,,,,,
5241,FKM11030103,Stephanolepis hispidus,1,55,,,,,,,,,,,,,,,,,,,
5242,FKM11030104,Acanthostracion quadricornis,1,116,,,,,,,,,,,,,,,,,,,
5243,FKM11030104,Eucinostomus gula,21,60,44,57,47,54,65,57,46,41,44,,,,,,,,,,
5244,FKM11030104,Eucinostomus spp.,1,39,,,,,,,,,,,,,,,,,,,
5245,FKM11030104,Syngnathus floridae,1,160,,,,,,,,,,,,,,,,,,,
5246,FKM11030104,Lagodon rhomboides,6,39,45,29,45,45,34,,,,,,,,,,,,,,
5247,FKM11030104,Sphoeroides spengleri,1,34,,,,,,,,,,,,,,,,,,,
5248,FKM11030104,Haemulon plumierii,1,42,,,,,,,,,,,,,,,,,,,
5249,FKM11030104,Syngnathus scovelli,1,80,,,,,,,,,,,,,,,,,,,
5250,FKM11030105,Farfantepenaeus duorarum,1,30,,,,,,,,,,,,,,,,,,,
5251,FKM11030105,Eucinostomus gula,1,55,,,,,,,,,,,,,,,,,,,
5252,FKM11030105,Syngnathus floridae,2,172,140,,,,,,,,,,,,,,,,,,
5253,FKM11030105,Stephanolepis hispidus,4,9,19,26,11,,,,,,,,,,,,,,,,
5254,FKM11030105,Lagodon rhomboides,1,75,,,,,,,,,,,,,,,,,,,
5255,FKM11030105,Synodus foetens,1,82,,,,,,,,,,,,,,,,,,,
5256,FKM11030105,Hippocampus erectus,1,28,,,,,,,,,,,,,,,,,,,
5257,FKM11030106,Harengula jaguana,26,82,71,70,59,64,65,72,72,68,80,,,,,,,,,,
5258,FKM11030106,Eucinostomus gula,3,82,65,80,,,,,,,,,,,,,,,,,
5259,FKM11030106,Lagodon rhomboides,11,90,72,65,69,79,95,68,80,68,80,,,,,,,,,,
5260,FKM11030106,Stephanolepis hispidus,1,40,,,,,,,,,,,,,,,,,,,
5261,FKM11030107,Acanthostracion quadricornis,2,74,90,,,,,,,,,,,,,,,,,,
5262,FKM11030107,Syngnathus floridae,1,135,,,,,,,,,,,,,,,,,,,
5263,FKM11030107,Eucinostomus gula,1,42,,,,,,,,,,,,,,,,,,,
5264,FKM11030107,Hippocampus zosterae,1,30,,,,,,,,,,,,,,,,,,,
5265,FKM11030108,Syngnathus floridae,3,150,185,151,,,,,,,,,,,,,,,,,
5266,FKM11030108,Eucinostomus gula,2,52,59,,,,,,,,,,,,,,,,,,
5267,FKM11030108,Lagodon rhomboides,6,34,78,28,32,25,25,,,,,,,,,,,,,,
5268,FKM11030108,Sphoeroides nephelus,1,75,,,,,,,,,,,,,,,,,,,
5269,FKM11030108,Stephanolepis hispidus,6,30,50,60,30,25,47,,,,,,,,,,,,,,
5270,FKM11030108,Haemulon plumierii,1,52,,,,,,,,,,,,,,,,,,,
5271,FKM11030109,Stephanolepis hispidus,3,25,50,18,,,,,,,,,,,,,,,,,
5272,FKM11030109,Sphoeroides nephelus,1,99,,,,,,,,,,,,,,,,,,,
5273,FKM11030109,Lagodon rhomboides,14,88,81,71,80,62,70,91,50,55,60,,,,,,,,,,
5274,FKM11030109,Syngnathus floridae,1,184,,,,,,,,,,,,,,,,,,,
5275,FKM11030109,Monacanthus ciliatus,1,61,,,,,,,,,,,,,,,,,,,
5276,FKM11030109,Eucinostomus gula,3,67,62,70,,,,,,,,,,,,,,,,,
5277,FKM11030109,Haemulon plumierii,3,34,50,48,,,,,,,,,,,,,,,,,
5278,FKM11030109,Scarus iseri,3,42,45,44,,,,,,,,,,,,,,,,,
5279,FKM11030110,Acanthostracion quadricornis,2,119,140,,,,,,,,,,,,,,,,,,
5280,FKM11030110,Eucinostomus gula,2,62,55,,,,,,,,,,,,,,,,,,
5281,FKM11030110,Lagodon rhomboides,7,53,64,63,61,60,60,66,,,,,,,,,,,,,
5282,FKM11030110,Stephanolepis hispidus,2,55,50,,,,,,,,,,,,,,,,,,
5283,FKM11030110,Syngnathus floridae,1,160,,,,,,,,,,,,,,,,,,,
5284,FKM11030110,Haemulon plumierii,5,38,42,39,31,40,,,,,,,,,,,,,,,
5285,FKM11010201,Eucinostomus gula,10,60,52,58,40,51,45,46,54,52,49,,,,,,,,,,
5286,FKM11010201,Eucinostomus spp.,7,40,35,25,34,25,27,30,,,,,,,,,,,,,
5287,FKM11010201,Haemulon plumierii,34,53,45,34,29,36,62,67,59,38,38,,,,,,,,,,
5288,FKM11010201,Syngnathus scovelli,5,110,85,86,80,89,,,,,,,,,,,,,,,
5289,FKM11010201,Sparisoma chrysopterum,2,45,50,,,,,,,,,,,,,,,,,,
5290,FKM11010201,Syngnathus floridae,1,200,,,,,,,,,,,,,,,,,,,
5291,FKM11010201,Scorpaena brasiliensis,2,38,80,,,,,,,,,,,,,,,,,,
5292,FKM11010201,Floridichthys carpio,2,41,43,,,,,,,,,,,,,,,,,,
5293,FKM11010201,Lagodon rhomboides,1,54,,,,,,,,,,,,,,,,,,,
5294,FKM11010202,Acanthostracion quadricornis,1,145,,,,,,,,,,,,,,,,,,,
5295,FKM11010202,Floridichthys carpio,23,41,32,35,37,30,40,30,41,42,47,,,,,,,,,,
5296,FKM11010202,Syngnathus scovelli,3,89,98,110,,,,,,,,,,,,,,,,,
5297,FKM11010202,Syngnathus floridae,1,85,,,,,,,,,,,,,,,,,,,
5298,FKM11010202,Eucinostomus gula,3,46,42,44,,,,,,,,,,,,,,,,,
5299,FKM11010202,Eucinostomus spp.,5,20,18,22,32,25,,,,,,,,,,,,,,,
5300,FKM11010202,Haemulon sciurus,3,29,26,30,,,,,,,,,,,,,,,,,
5301,FKM11010202,Sparisoma chrysopterum,1,31,,,,,,,,,,,,,,,,,,,
5302,FKM11010202,Haemulon plumierii,1,32,,,,,,,,,,,,,,,,,,,
5303,FKM11010202,Trinectes maculatus,1,44,,,,,,,,,,,,,,,,,,,
5304,FKM11040101,Hemiramphus brasiliensis,1,30,,,,,,,,,,,,,,,,,,,
5305,FKM11040101,Sphoeroides nephelus,1,30,,,,,,,,,,,,,,,,,,,
5306,FKM11040101,Bathygobius soporator,1,28,,,,,,,,,,,,,,,,,,,
5307,FKM11040101,Lagodon rhomboides,1,30,,,,,,,,,,,,,,,,,,,
5308,FKM11040102,Eucinostomus gula,3,110,115,110,,,,,,,,,,,,,,,,,
5309,FKM11040102,Sphoeroides nephelus,1,34,,,,,,,,,,,,,,,,,,,
5310,FKM11040103,Sphoeroides nephelus,3,22,32,34,,,,,,,,,,,,,,,,,
5311,FKM11040103,Eucinostomus spp.,1,15,,,,,,,,,,,,,,,,,,,
5312,FKM11040103,Strongylura notata,1,65,,,,,,,,,,,,,,,,,,,
5313,FKM11040104,Atherinomorus stipes,6,130,110,135,120,140,130,,,,,,,,,,,,,,
5314,FKM11040104,Strongylura marina,4,60,60,45,30,,,,,,,,,,,,,,,,
5315,FKM11040105,Eucinostomus gula,4,115,95,90,110,,,,,,,,,,,,,,,,
5316,FKM11040105,Strongylura marina,1,65,,,,,,,,,,,,,,,,,,,
5317,FKM11040105,Synodus foetens,1,45,,,,,,,,,,,,,,,,,,,
5318,FKM11040106,Strongylura notata,1,65,,,,,,,,,,,,,,,,,,,
5319,FKM11040106,Syngnathus floridae,1,170,,,,,,,,,,,,,,,,,,,
5320,FKM11040106,Lagodon rhomboides,1,90,,,,,,,,,,,,,,,,,,,
5321,FKM11040107,Acanthostracion quadricornis,2,80,60,,,,,,,,,,,,,,,,,,
5322,FKM11040107,Syngnathus scovelli,1,150,,,,,,,,,,,,,,,,,,,
5323,FKM11040107,Lactophrys trigonus,1,160,60,,,,,,,,,,,,,,,,,,
5324,FKM11040107,Lagodon rhomboides,3,145,140,83,,,,,,,,,,,,,,,,,
5325,FKM11040107,Stephanolepis hispidus,2,20,26,,,,,,,,,,,,,,,,,,
5326,FKM11040107,Haemulon sciurus,1,30,,,,,,,,,,,,,,,,,,,
5327,FKM11040108,Abudefduf saxatilis,1,16,,,,,,,,,,,,,,,,,,,
5328,FKM11040108,Syngnathus floridae,2,160,165,,,,,,,,,,,,,,,,,,
5329,FKM11040108,Archosargus rhomboidalis,2,37,38,,,,,,,,,,,,,,,,,,
5330,FKM11040108,Lagodon rhomboides,54,28,42,37,45,43,26,45,45,40,38,,,,,,,,,,
5331,FKM11040108,Caranx spp.,1,14,,,,,,,,,,,,,,,,,,,
5332,FKM11040108,Haemulon plumierii,2,50,44,,,,,,,,,,,,,,,,,,
5333,FKM11040108,Haemulon sciurus,2,27,55,,,,,,,,,,,,,,,,,,
5334,FKM11040108,Haemulon aurolineatum,1,26,,,,,,,,,,,,,,,,,,,
5335,FKM11040108,Stephanolepis hispidus,4,45,50,55,55,,,,,,,,,,,,,,,,
5336,FKM11040109,Lagodon rhomboides,5,72,70,66,78,62,,,,,,,,,,,,,,,
5337,FKM11040109,Eucinostomus gula,2,63,70,,,,,,,,,,,,,,,,,,
5338,FKM11040109,Strongylura notata,1,74,,,,,,,,,,,,,,,,,,,
5339,FKM11040109,Nicholsina usta,2,70,65,,,,,,,,,,,,,,,,,,
5340,FKM11040109,Strongylura marina,1,80,,,,,,,,,,,,,,,,,,,
5341,FKM11040109,Sparisoma viride,1,69,,,,,,,,,,,,,,,,,,,
5342,FKM11040109,Stephanolepis hispidus,1,60,,,,,,,,,,,,,,,,,,,
5343,FKM11040110,Sphoeroides spengleri,1,65,,,,,,,,,,,,,,,,,,,
5344,FKM11040110,Hippocampus erectus,1,80,,,,,,,,,,,,,,,,,,,
5345,FKM11040110,Stephanolepis hispidus,1,50,,,,,,,,,,,,,,,,,,,
5346,FKM11040110,Eucinostomus gula,2,78,80,,,,,,,,,,,,,,,,,,
5347,FKM11040110,Haemulon plumierii,2,54,55,,,,,,,,,,,,,,,,,,
5348,FKM11040110,Archosargus rhomboidalis,3,80,70,48,,,,,,,,,,,,,,,,,
5349,FKM11040110,Haemulon sciurus,5,19,57,54,50,24,,,,,,,,,,,,,,,
5350,FKM11050101,Sphoeroides nephelus,1,44,,,,,,,,,,,,,,,,,,,
5351,FKM11050101,Strongylura notata,1,98,,,,,,,,,,,,,,,,,,,
5352,FKM11050101,Floridichthys carpio,1,18,,,,,,,,,,,,,,,,,,,
5353,FKM11050102,Strongylura notata,2,100,65,,,,,,,,,,,,,,,,,,
5354,FKM11050102,Harengula jaguana,1,99,,,,,,,,,,,,,,,,,,,
5355,FKM11050102,Carangidae spp.,1,20,,,,,,,,,,,,,,,,,,,
